Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Tesoro Nacional. Valores anuales 2017,Millones de pesos,Finanzas Públicas,A,47,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017,373.3_AP_FIN_AMO017_0_A_50_56 | 373.3_AP_FIN_AMO017__50_22 | 373.3_AP_FIN_AMO017__52_48 | 373.3_AP_FIN_CIN017__20_28 | 373.3_AP_FIN_GTO017__39_61
Recursos Afectados. Valores anuales 2007-2014,Millones de pesos,Finanzas Públicas,A,46,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2007 - 2014 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2007 - 2014 | Contribuciones figurativas de recursos afectados . Metodología 2007 - 2014,374.2_AP_FIN_AMO014_0_A_55_94 | 374.2_AP_FIN_CIN014__25_93 | 374.2_AP_FIN_GTO014__44_85 | 374.2_CONTRIB_FI014__38_52 | 374.2_CONTRIB_FI014__44_26
Recursos Afectados. Valores mensuales 2007-2014,Millones de pesos,Finanzas Públicas,M,46,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2007 - 2014 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2007 - 2014 | Contribuciones figurativas de recursos afectados . Metodología 2007 - 2014,374.8_AP_FIN_AMO014_0_M_55_37 | 374.8_AP_FIN_CIN014__25_47 | 374.8_AP_FIN_GTO014__44_1 | 374.8_CONTRIB_FI014__38_72 | 374.8_CONTRIB_FI014__44_59
Financiamiento Privado en Mercado de Capitales. Dólares.,Porcentaje,Mercados Financieros,M,45,"Emisión de obligaciones negociables de agricultura ganaderia | Emisión de obligaciones negociables de alimentos 
 bebidas | Emisión de obligaciones negociables de act financieras seguros | Emisión de obligaciones negociables de actividades
 inmobiliarias | Emisión de obligaciones negociables de bancos",170.1_ACULTURRIA_0_0_21 | 170.1_AENTOS_DAS_0_0_19 | 170.1_AFINANCOS_0_0_24 | 170.1_AVIDADEIAS_0_0_26 | 170.1_BOSCOS_0_0_6
Informe Mensual de Ingresos y Gastos. Sector Público Nacional No Financiero.  Valores trimestrales 2015-2018,Millones de pesos,Finanzas Públicas,T,45,IMIG. Ingresos totales. Ingresos tributarios. Aportes y contribuciones a la seguriad social | IMIG. Ingresos totales. Ingresos tributarios. Bienes personales | IMIG. Ingresos totales. Ingresos tributarios. Débitos y créditos | IMIG. Ingresos totales. Ingresos tributarios. Derechos de exportación | IMIG. Ingresos totales. Rentas de la propiedad Netas. FGS cobradas al sector privado y público financiero,452.1_APORTES_COIAL_0_A_39_80 | 452.1_BIENES_PERLES_0_A_17_92 | 452.1_DEBITOS_CRTOS_0_A_16_94 | 452.1_DERECHOS_EION_0_A_20_86 | 452.1_FGS_COBRADERO_0_A_53_62
Instituciones de la Seguridad Social. Valores mensuales 1993-2006,Millones de pesos,Finanzas Públicas,M,45,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006 | Aplicaciones financieras inversión financiera . Metodología 1993 - 2006 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 1993 - 2006,376.7_AP_FIN_AMO006_0_M_55_17 | 376.7_AP_FIN_AMO006__55_80 | 376.7_AP_FIN_CAM006__58_17 | 376.7_AP_FIN_CIN006__25_21 | 376.7_AP_FIN_GTO006__44_59
Recursos Afectados. Valores trimestrales 2017,Millones de pesos,Finanzas Públicas,T,44,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2017 | Contribuciones figurativas de recursos afectados . Metodología 2017,374.6_AP_FIN_AMO017_0_T_50_32 | 374.6_AP_FIN_CIN017__20_26 | 374.6_AP_FIN_GTO017__39_15 | 374.6_CONTRIB_FI017__33_30 | 374.6_CONTRIB_FI017__39_91
Flujos de Inversión Extranjera Directa por país primer nivel de residencia. Valores trimestrales,Millones de dólares,Sector Externo,T,43,Flujos de Inversión Extranjera Directa de Alemania | Flujos de Inversión Extranjera Directa de Australia | Flujos de Inversión Extranjera Directa de Austria | Flujos de Inversión Extranjera Directa de Bahamas | Flujos de Inversión Extranjera Directa de Barbados,320.1_ALEMANIANIA_0_T_8 | 320.1_AUSTRALIALIA_0_T_9 | 320.1_AUSTRIARIA_0_T_7 | 320.1_BAHAMASMAS_0_T_7 | 320.1_BARBADOSDOS_0_T_8
Ingreso de la inversión extranjera directa por país primer nivel de residencia. Valores trimestrales,Millones de dólares,Sector Externo,T,43,De ingreso de la Inversión Extranjera Directa de Alemania | De ingreso de la Inversión Extranjera Directa de Australia | De ingreso de la Inversión Extranjera Directa de Austria | De ingreso de la Inversión Extranjera Directa de Bahamas | De ingreso de la Inversión Extranjera Directa de Barbados,321.1_ALEMANIANIA_0_T_8 | 321.1_AUSTRALIALIA_0_T_9 | 321.1_AUSTRIARIA_0_T_7 | 321.1_BAHAMASMAS_0_T_7 | 321.1_BARBADOSDOS_0_T_8
Stock de Inversión Extranjera Directa por país primer nivel de residencia. Valores semestrales,Millones de dólares,Sector Externo,S,43,Stock de inversión extrajera directa de Alemania | Stock de inversión extrajera directa de Australia | Stock de inversión extrajera directa de Austria | Stock de inversión extrajera directa de Bahamas | Stock de inversión extrajera directa de Barbados,319.1_ALEMANIANIA_0_S_8 | 319.1_AUSTRALIALIA_0_S_9 | 319.1_AUSTRIARIA_0_S_7 | 319.1_BAHAMASMAS_0_S_7 | 319.1_BARBADOSDOS_0_S_8
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Sector Público Argentino (1987-1989),Variación Porcentual,Finanzas Públicas,A,42,Ahorro | Aumentos Pasivos Financiento netos | B.C.R.A | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes,439.2_AHORRORRO_DEVE_0_6_92 | 439.2_AUM_PAS_FITOS_DEVE_0_17_92 | 439.2_BCO_CTRAL_ARG_DEVE_0_17_16 | 439.2_EROG_CAP_IANC_DEVE_0_19_8 | 439.2_EROG_CAP_IIST_DEVE_0_23_38
Recursos Afectados. Valores anuales 2017,Millones de pesos,Finanzas Públicas,A,42,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2017 | Contribuciones figurativas de recursos afectados . Metodología 2017,374.3_AP_FIN_AMO017_0_A_50_30 | 374.3_AP_FIN_CIN017__20_4 | 374.3_AP_FIN_GTO017__39_95 | 374.3_CONTRIB_FI017__33_82 | 374.3_CONTRIB_FI017__39_6
"Cantidad de empresas exportadoras por sector de actividad, rangos de exportación y saldo comercial. Datos mensuales",Cantidad de Empresas,Sector Externo,M,41,Detalle por rangos de exportación Más de USD 500 M | Detalle por rangos de exportación Entre USD 5 M y USD 20 M | Detalle por rangos de exportación Entre USD 20 M y USD 100 M | Detalle por rangos de exportación Entre USD 100 M y USD 500 M | Detalle por rangos de exportación Total > USD 1 M,360.1_DETALLE_PO0_M__42 | 360.1_DETALLE_PO0_M__48 | 360.1_DETALLE_PO0_M__50 | 360.1_DETALLE_PO0_M__51 | 360.1_DETALLE_PO1_M_II__43
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Total Administración Nacional (1977-1986),Variación Porcentual,Finanzas Públicas,A,41,Ahorro | Aumentos Pasivos Financiento netos | B.C.R.A | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes,436.2_AHORRORRO_DEVE_0_6_11 | 436.2_AUM_PAS_FITOS_DEVE_0_17_58 | 436.2_BCO_CTRAL_ARG_DEVE_0_17_40 | 436.2_EROG_CAP_IANC_DEVE_0_19_54 | 436.2_EROG_CAP_IIST_DEVE_0_23_43
Instituciones de la Seguridad Social. Valores anuales 2017,Millones de pesos,Finanzas Públicas,A,41,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2017,376.3_AP_FIN_AMO017_0_A_50_13 | 376.3_AP_FIN_AMO017__50_62 | 376.3_AP_FIN_CIN017__20_37 | 376.3_AP_FIN_GTO017__39_94 | 376.3_CONTRIB_FI017__33_2
Instituciones de la Seguridad Social. Valores trimestrales 2007-2014,Millones de pesos,Finanzas Públicas,T,41,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2007 - 2014,376.5_AP_FIN_AMO014_0_T_55_41 | 376.5_AP_FIN_AMO014__55_78 | 376.5_AP_FIN_AMO014__57_45 | 376.5_AP_FIN_CIN014__25_97 | 376.5_AP_FIN_GTO014__44_92
Lebac mercado secundario. Tasa de interés en % n.a.,Porcentaje,Dinero y Bancos,D,41,Tasa de interes interna de lebac según fecha de corte 2017-01-04 | Tasa de interes interna de lebac según fecha de corte 2017-02-01 | Tasa de interes interna de lebac según fecha de corte 2017-02-08 | Tasa de interes interna de lebac según fecha de corte 2017-03-01 | Tasa de interes interna de lebac según fecha de corte 2017-03-08,304.1_LEBAQ_INTE1_4_0_0_28 | 304.1_LEBAQ_INTE2_1_0_0_28 | 304.1_LEBAQ_INTE2_8_0_0_28 | 304.1_LEBAQ_INTE3_1_0_0_28 | 304.1_LEBAQ_INTE3_8_0_0_28
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Total Administración Nacional (1990-1992),Variación Porcentual,Finanzas Públicas,A,40,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes | Erogaciones de capital . Inversión real . Construcciones,436.4_AHORRORRO_DEVE_0_6_15 | 436.4_AUM_PAS_FITOS_DEVE_0_17_82 | 436.4_EROG_CAP_IANC_DEVE_0_19_0 | 436.4_EROG_CAP_IIST_DEVE_0_23_32 | 436.4_EROG_CAP_ISTR_DEVE_0_24_88
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Total Administración Nacional(1987-1989),Variación Porcentual,Finanzas Públicas,A,40,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes | Erogaciones de capital . Inversión real . Construcciones,436.3_AHORRORRO_DEVE_0_6_80 | 436.3_AUM_PAS_FITOS_DEVE_0_17_17 | 436.3_EROG_CAP_IANC_DEVE_0_19_55 | 436.3_EROG_CAP_IIST_DEVE_0_23_8 | 436.3_EROG_CAP_ISTR_DEVE_0_24_36
Instituciones de la Seguridad Social. Valores anuales 2007-2014,Millones de pesos,Finanzas Públicas,A,40,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2007 - 2014,376.2_AP_FIN_AMO014_0_A_55_100 | 376.2_AP_FIN_AMO014__55_37 | 376.2_AP_FIN_AMO014__57_66 | 376.2_AP_FIN_CIN014__25_52 | 376.2_AP_FIN_GTO014__44_17
Instituciones de la Seguridad Social. Valores trimestrales 2017,Millones de pesos,Finanzas Públicas,T,40,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017 | Contribuciones figurativas de instituciones de seguridad social . Metodología 2017,376.6_AP_FIN_AMO017_0_T_50_39 | 376.6_AP_FIN_AMO017__50_48 | 376.6_AP_FIN_CIN017__20_6 | 376.6_AP_FIN_GTO017__39_49 | 376.6_CONTRIB_FI017__33_78
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Administración Central (1987-1989),Variación Porcentual,Finanzas Públicas,A,39,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes | Erogaciones de capital . Inversión real . Construcciones,432.3_AHORRORRO_DEVE_0_6_61 | 432.3_AUM_PAS_FITOS_DEVE_0_17_40 | 432.3_EROG_CAP_IANC_DEVE_0_19_16 | 432.3_EROG_CAP_IIST_DEVE_0_23_78 | 432.3_EROG_CAP_ISTR_DEVE_0_24_75
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Administración Central (1990-1992),Variación Porcentual,Finanzas Públicas,A,39,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes | Erogaciones de capital . Inversión real . Construcciones,432.4_AHORRORRO_DEVE_0_6_14 | 432.4_AUM_PAS_FITOS_DEVE_0_17_1 | 432.4_EROG_CAP_IANC_DEVE_0_19_83 | 432.4_EROG_CAP_IIST_DEVE_0_23_39 | 432.4_EROG_CAP_ISTR_DEVE_0_24_36
