Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Exportaciones por provincia y por país de destino. Valores anuales,Millones de dolares,Sector Externo,A,336,Datos exportaciones caba Alemania | Datos exportaciones caba Brasil | Datos exportaciones caba Chile | Datos exportaciones caba Espania | Datos exportaciones caba Estados Unidos,357.1_CABA_ALEMANIA__13 | 357.1_CABA_BRASISIL__11 | 357.1_CABA_CHILEILE__10 | 357.1_CABA_ESPANNIA__12 | 357.1_CABA_ESTADDOS__19
Situación Patrimonial del sistema financiero. Datos anual,Millones de pesos corrientes,Dinero y Bancos,A,247,Bancos Privados Extranjeros. Activo. Préstamos. Sector Privado | Bancos Privados Extranjeros. Pasivo. Depósitos Sector Privado | Bancos Privados Nacionales. Pasivo. Depósitos Sector Privado | Bancos Privados Extranjeros. Activo neteado | Bancos Privados. Pasivo. Depósitos Sector Privado,334.1_BCOS_PRIV_ADO11__53 | 334.1_BCOS_PRIV_ADO29__53 | 334.1_BCOS_PRIV_ADO2__53 | 334.1_BCOS_PRIV_ADO95__28 | 334.1_BCOS_PRIV_ADO_III__49
Situación Patrimonial del sistema financiero. Datos mensuales,Millones de pesos corrientes,Dinero y Bancos,M,247,Bancos Privados Extranjeros. Activo. Préstamos. Sector Privado | Bancos Privados Extranjeros. Pasivo. Depósitos Sector Privado | Bancos Privados Nacionales. Pasivo. Depósitos Sector Privado | Bancos Privados Extranjeros. Activo neteado | Bancos Privados. Pasivo. Depósitos Sector Privado,334.2_BCOS_PRIV_ADO11__53 | 334.2_BCOS_PRIV_ADO29__53 | 334.2_BCOS_PRIV_ADO2__53 | 334.2_BCOS_PRIV_ADO95__28 | 334.2_BCOS_PRIV_ADO_III__49
Cuenta Corriente del Balance de Pagos. Flujos monetarios. Datos anuales,Millones de dólares,Economía Internacional,A,194,Cuenta corriente de balance de pago Afganistán | Cuenta corriente de balance de pago Albania | Cuenta corriente de balance de pago Alemania | Cuenta corriente de balance de pago Angola | Cuenta corriente de balance de pago Anguila,339.1_AFGANISTANTAN__10 | 339.1_ALBANIANIA__7 | 339.1_ALEMANIANIA__8 | 339.1_ANGOLAOLA__6 | 339.1_ANGUILAILA__7
Cuenta Corriente del Balance de Pagos. En porcentaje del producto. Datos anuales,En porcentaje del PIB,Economía Internacional,A,193,Cuenta corriente de balance de pago Afganistán | Cuenta corriente de balance de pago Albania | Cuenta corriente de balance de pago Alemania | Cuenta corriente de balance de pago Angola | Cuenta corriente de balance de pago Anguila,340.1_AFGANISTANTAN__10 | 340.1_ALBANIANIA__7 | 340.1_ALEMANIANIA__8 | 340.1_ANGOLAOLA__6 | 340.1_ANGUILAILA__7
Índice de Precios al Consumidor GBA - Base 1988,Índice base 100,Precios,M,191,"Azúcar | Azúcar, dulces y cacao | Aparatos de radio y TV | Artículos de tocador | Artículos de belleza",176.1_AARCAR_1988_0_6 | 176.1_AAR_DULCAO_1988_0_19 | 176.1_AATOS_R_TV_1988_0_17 | 176.1_ACULOS_DOR_1988_0_17 | 176.1_ACULOS_EZA_1988_0_17
Flujos monetarios netos de Inversión Extranjera Directa. Datos anuales,Millones de dólares,Economía Internacional,A,172,Flujos netos de inversión extranjera directa Afganistán | Flujos netos de inversión extranjera directa Albania | Flujos netos de inversión extranjera directa Alemania | Flujos netos de inversión extranjera directa Angola | Flujos netos de inversión extranjera directa Antillas Holandesas,337.1_AFGANISTANTAN__10 | 337.1_ALBANIANIA__7 | 337.1_ALEMANIANIA__8 | 337.1_ANGOLAOLA__6 | 337.1_ANTILLAS_HSAS__19
Flujos porcentuales netos de Inversión Extranjera Directa. Datos anuales,En porcentaje del PIB,Economía Internacional,A,170,Flujos netos de inversión extranjera directa Afganistán | Flujos netos de inversión extranjera directa Albania | Flujos netos de inversión extranjera directa Alemania | Flujos netos de inversión extranjera directa Angola | Flujos netos de inversión extranjera directa Antillas Holandesas,338.1_AFGANISTANTAN__10 | 338.1_ALBANIANIA__7 | 338.1_ALEMANIANIA__8 | 338.1_ANGOLAOLA__6 | 338.1_ANTILLAS_HSAS__19
Incidencia absoluta mensual por región y por capítulo,Índice,Precios,M,144,Cuyo alimentos bebidas no alcoholicas acumulada | Cuyo alimentos bebidas no alcoholicas mensual | Cuyo bebidas alcoholicas tabaco acumulada | Cuyo bebidas alcoholicas tabaco mensual | Cuyo comunicaciones acumulada,345.1_CUYO_ALIMEADA__47 | 345.1_CUYO_ALIMEUAL__45 | 345.1_CUYO_BEBIDADA__41 | 345.1_CUYO_BEBIDUAL__39 | 345.1_CUYO_COMUNADA__29
Exportaciones por provincia y rubro. Datos anuales,Millones de dólares,Sector Externo,A,140,Exportaciones buenos aires cye | Exportaciones buenos aires moa | Exportaciones buenos aires moi | Exportaciones buenos aires total buenos aires | Exportaciones buenos aires pp,350.1_BUENOS_AIRCYE__16 | 350.1_BUENOS_AIRMOA__16 | 350.1_BUENOS_AIRMOI__16 | 350.1_BUENOS_AIRRES__31 | 350.1_BUENOS_AIR_PP__15
Rentabilidad del sistema financiero. Datos anuales,En millones de pesos,Dinero y Bancos,A,126,Bancos ext priv resultado total integrado | Bancos ext priv resultado total integrado ajustado | Bancos ext priv margen financ | Bancos ext priv margen financ ajustes cer cvs | Bancos ext priv cargos por incobrabilidad,333.1_BANCOS_EXTADO_A_42 | 333.1_BANCOS_EXTADO_A_51 | 333.1_BANCOS_EXTANC_A_30 | 333.1_BANCOS_EXTCVS_A_46 | 333.1_BANCOS_EXTDAD_A_42
Rentabilidad del sistema financiero. Datos mensuales,En millones de pesos,Dinero y Bancos,M,126,Bancos ext priv resultado total integrado | Bancos ext priv resultado total integrado ajustado | Bancos ext priv margen financ | Bancos ext priv margen financ ajustes cer cvs | Bancos ext priv cargos por incobrabilidad,333.2_BANCOS_EXTADO_M_42 | 333.2_BANCOS_EXTADO_M_51 | 333.2_BANCOS_EXTANC_M_30 | 333.2_BANCOS_EXTCVS_M_46 | 333.2_BANCOS_EXTDAD_M_42
Índice de Precios Internos Básicos al por Mayor IProducto Interno Bruto a cuatro dígitos. Datos anuales. Base 1993,Índice 1993=100,Precios,A,122,Alimentos balanceados índice anual | Aparatos de distribución y control eléctrico (II) índice anual | Aparatos de distribución y control eléctrico índice anual | Alimentos diversos n.c.e.p. índice anual | Alcohol etílico y bebidas alcohólicas destiladas índice anual,125.1_AB_1993_0_21 | 125.1_ADCEA_1993_0_42 | 125.1_ADCE_1993_0_39 | 125.1_AD_1993_0_18 | 125.1_AEBAD_1993_0_46
Índice de Precios Internos Básicos al por Mayor IProducto Interno Bruto a cuatro dígitos. Datos mensuales. Base 1993,Índice 1993=100,Precios,M,122,Alimentos balanceados índice mensual IPIB | Aparatos de distribución y control eléctrico (II) índice mensual IPIB | Aparatos de distribución y control eléctrico índice mensual IPIB | Alimentos diversos n.c.e.p. índice mensual IPIB | Alcohol etílico y bebidas alcohólicas destiladas índice mensual IPIB,125.2_AB_1993_0_23 | 125.2_ADCEA_1993_0_44 | 125.2_ADCE_1993_0_41 | 125.2_AD_1993_0_20 | 125.2_AEBAD_1993_0_48
Índice de Precios Internos al por Mayor IPIM desagregado hasta cuatro dígitos. Datos anuales. Base 1993,Índice 1993=100,Precios,A,122,Alimentos balanceados índice anual IPIB | Aparatos de distribución y control eléctrico (ii) índice anual IPIB | Aparatos de distribución y control eléctrico índice anual IPIB | Alimentos diversos n.c.e.p. índice anual IPIB | Alcohol etílico y bebidas alcohólicas destiladas índice anual IPIB,126.1_AB_1993_0_21 | 126.1_ADCEA_1993_0_42 | 126.1_ADCE_1993_0_39 | 126.1_AD_1993_0_18 | 126.1_AEBAD_1993_0_46
Índice de Precios Internos al por Mayor IPIM desagregado hasta cuatro dígitos. Datos mensuales. Base 1993,Índice 1993=100,Precios,M,122,Alimentos balanceados índice mensual IPIM | Aparatos de distribución y control eléctrico (ii) índice mensual IPIM | Aparatos de distribución y control eléctrico índice mensual IPIM | Alimentos diversos n.c.e.p. índice mensual IPIM | Alcohol etílico y bebidas alcohólicas destiladas índice mensual IPIM,126.2_AB_1993_0_23 | 126.2_ADCEA_1993_0_44 | 126.2_ADCE_1993_0_41 | 126.2_AD_1993_0_20 | 126.2_AEBAD_1993_0_48
Relevamiento de Expectativas de Mercado (REM). Datos mensuales,Variación Porcentual,Precios,M,117,REM: Mediana IPC Nacional var ia 2016 | REM: Mediana Tipo de Cambio Nominal var ia 2016 | REM: Mediana IPC GBA var ia 2016 | REM: Mediana IPC GBA núcleo var ia 2016 | REM:Mediana Tasa de Interés var ia 2016,430.1_MEDIANA_IP016_M_0_0_27_16 | 430.1_MEDIANA_IP016_M_0_0_27_25 | 430.1_MEDIANA_IP016_M_0_0_27_81 | 430.1_MEDIANA_IP016_M_0_0_34_80 | 430.1_MEDIANA_IP016_M_0_0_37_40
Títulos Públicos de Deuda. Merval,Años,Mercados Financieros,D,110,Bono de la Nación Argentina Bonar 2025 - A2E2. Dur | Bono de la Nación Argentina Bonar 2025 - A2E2. Promedio ponderado de vida | Bono de la Nación Argentina Bonar 2025 - A2E3. Dur | Bono de la Nación Argentina Bonar 2025 - A2E3. Promedio ponderado de vida | Bono de la Nación Argentina Bonar 2027 - A2E7. Dur,179.1_A2E2_DURDUR_0_0_8 | 179.1_A2E2_PPVEIOS_0_0_17 | 179.1_A2E3_DURDUR_0_0_8_49 | 179.1_A2E3_PPV_EIOS_0_0_17_67 | 179.1_A2E7_DURDUR_0_0_8
"Exportaciones por sector de actividad, saldo comercial y rangos de exportación de la empresa exportadora. Datos mensuales",Millones de dólares,Sector Externo,M,109,"Exportaciones, en M de USD* | Detalle por rangos de exportación, en M de USD Exportan > USD 100 M | Detalle por rangos de exportación, en M de USD Entre USD 5 M y USD 20 M | Detalle por rangos de exportación, en M de USD Más de USD 500 M | Detalle por rangos de exportación, en M de USDTotal > USD 100 M",361.1_EXPORTACIOUSD__19 | 361.1_RANGOS_EXP0_M_IIE__39 | 361.1_RANGOS_EXP0_M_II__39 | 361.1_RANGOS_EXP0_M__30 | 361.1_RANGOS_EXP0_M__35
Principales Indicadores del Sistema Financiero. Datos anuales,En millones de pesos,Dinero y Bancos,A,102,Bancos Privados irregularidad cartera privada | Bancos Privados extranjeros irregularidad cartera privada | Bancos Privados nacionales irregularidad cartera privada | Bancos Privados Exposición patrimonial sector privado | Bancos Privados Crédito sector privado,332.1_BANCOS_PRIADA__51 | 332.1_BANCOS_PRIADA__52 | 332.1_BANCOS_PRIADA__59 | 332.1_BANCOS_PRIADO__33 | 332.1_BANCOS_PRIADO__43
Principales Indicadores del Sistema Financiero. Datos mensuales,En millones de pesos,Dinero y Bancos,M,102,Bancos Privados irregularidad cartera privada | Bancos Privados extranjeros irregularidad cartera privada | Bancos Privados nacionales irregularidad cartera privada | Bancos Privados Exposición patrimonial sector privado | Bancos Privados Crédito sector privado,332.2_BANCOS_PRIADA__51 | 332.2_BANCOS_PRIADA__52 | 332.2_BANCOS_PRIADA__59 | 332.2_BANCOS_PRIADO__33 | 332.2_BANCOS_PRIADO__43
Componentes del VAB por sector de actividad económica. Datos trimestrales.,En millones de pesos,Actividad,T,100,"A - Agricultura, ganaderia, caza y silvicultura Impuestos netos de subsidios a la actividad | A - Agricultura, ganaderia, caza y silvicultura Remuneracion al trabajo asalariado | A - Agricultura, ganaderia, caza y silvicultura Excedente de explotacion bruto | A - Agricultura, ganaderia, caza y silvicultura Ingreso bruto mixto | A - Agricultura, ganaderia, caza y silvicultura Valor Agregado Bruto pb",323.1_A_AGRICULTACT__57 | 323.1_A_AGRICULTADO__50 | 323.1_A_AGRICULTUTO__53 | 323.1_A_AGRICULTUTO__55 | 323.1_A_AGRICULT_PB__48
"Exportaciones según Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos anuales",Millones de dólares,Sector Externo,A,98,"Exportaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Anual. | Exportaciones plantas vivas. Millones de USD. Anual. | Exportaciones. Aparatos de relojería y sus partes. Millones de USD. Anual. | Exportaciones. Grasas y aceites animales o vegetales. Millones de USD. Anual. | Exportaciones. Plástico y sus manufacturas. Millones de USD. Anual.",162.1_XACTORETOS_0_0_48 | 162.1_XANTAS_URA_0_0_38 | 162.1_XARATOSTES_0_0_27 | 162.1_XASAS_ALES_0_0_35 | 162.1_XASTICORAS_0_0_23
"Exportaciones según Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos mensuales",Millones de dólares,Sector Externo,M,98,"Exportaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Mensual. | Exportaciones plantas vivas. Millones de USD. Mensual. | Exportaciones. Aparatos de relojería y sus partes. Millones de USD. Mensual. | Exportaciones. Grasas y aceites animales o vegetales. Millones de USD. Mensual. | Exportaciones. Plástico y sus manufacturas. Millones de USD. Mensual.",162.3_XACTORENAS_0_0_39 | 162.3_XANTAS_URA_0_0_38 | 162.3_XARATOSTES_0_0_27 | 162.3_XASAS_ALES_0_0_35 | 162.3_XASTICORAS_0_0_23
"Exportaciones según Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos trimestrales",Millones de dólares,Sector Externo,T,98,"Exportaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Trimestral. | Exportaciones plantas vivas. Millones de USD. Trimestral. | Exportaciones. Aparatos de relojería y sus partes. Millones de USD. Trimestral. | Exportaciones. Grasas y aceites animales o vegetales. Millones de USD. Trimestral. | Exportaciones. Plástico y sus manufacturas. Millones de USD. Trimestral.",162.2_XACTORENAS_0_0_39 | 162.2_XANTAS_URA_0_0_38 | 162.2_XARATOSTES_0_0_27 | 162.2_XASAS_ALES_0_0_35 | 162.2_XASTICORAS_0_0_23
"Importaciones según el Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos anuales",Millones de dólares,Sector Externo,A,98,"Importaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Anual. | Importaciones plantas vivas. Millones de USD. Anual. | Importaciones. Aparatos de relojería y sus partes. Millones de USD. Anual. | Importaciones. Grasas y aceites animales o vegetales. Millones de USD. Anual. | Importaciones. Plástico y sus manufacturas. Millones de USD. Anual.",163.1_MACTORENAS_0_0_39 | 163.1_MANTAS_URA_0_0_38 | 163.1_MARATOSTES_0_0_27 | 163.1_MASAS_AES_0_0_36 | 163.1_MASTICORAS_0_0_23
"Importaciones según el Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos mensuales",Millones de dólares,Sector Externo,M,98,"Importaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Mensual. | Importaciones plantas vivas. Millones de USD. Mensual. | Importaciones. Aparatos de relojería y sus partes. Millones de USD. Mensual. | Importaciones. Grasas y aceites animales o vegetales. Millones de USD. Mensual. | Importaciones. Plástico y sus manufacturas. Millones de USD. Mensual.",163.3_MACTORENAS_0_0_39 | 163.3_MANTAS_URA_0_0_38 | 163.3_MARATOSTES_0_0_27 | 163.3_MASAS_AES_0_0_36 | 163.3_MASTICORAS_0_0_23
"Importaciones según el Nomenclador Común del Mercosur (NCM), a 2 dígitos. Datos trimestrales",Millones de dólares,Sector Externo,T,98,"Importaciones. Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos, partes de éstos artículos, de metal común. Millones de USD. Trimestral. | Importaciones plantas vivas. Millones de USD. Trimestral. | Importaciones. Aparatos de relojería y sus partes. Millones de USD. Trimestral. | Importaciones. Grasas y aceites animales o vegetales. Millones de USD. Trimestral. | Importaciones. Plástico y sus manufacturas. Millones de USD. Trimestral.",163.2_MACTORENAS_0_0_39 | 163.2_MANTAS_URA_0_0_38 | 163.2_MARATOSTES_0_0_27 | 163.2_MASAS_AES_0_0_36 | 163.2_MASTICORAS_0_0_23
"Saldo comercial según Nomenclador Común del Mercosur NCM, a 2 dígitos. Datos anuales",Millones de dólares,Sector Externo,A,98,"Saldo comercial. Tabaco y sucedáneos. Millones de USD. Anual. | Saldo comercial. Jabón, preparaciones para lavar, productos de limpieza. Millones de USD. Anual. | Saldo comercial. Cacao y sus preparaciones. Millones de USD. Anual. | Saldo comercial. Madera, carbón vegetal, y manufacturas de madera. Millones de USD. Anual. | Saldo comercial. Café, té, yerba mate y especias. Millones de USD. Anual.",164.1_SABACO_DOS_0_0_38 | 164.1_SABON_AVAR_0_0_57 | 164.1_SACAO_PNES_0_0_22 | 164.1_SADERA_ERA_0_0_44 | 164.1_SAFE_TEIAS_0_0_30
"Saldo comercial según Nomenclador Común del Mercosur NCM, a 2 dígitos. Datos mensuales",Millones de dólares,Sector Externo,M,98,"Saldo comercial. Tabaco y sucedáneos. Millones de USD. Mensual. | Saldo comercial. Jabón, preparaciones para lavar, productos de limpieza. Millones de USD. Mensual. | Saldo comercial. Cacao y sus preparaciones. Millones de USD. Mensual. | Saldo comercial. Madera, carbón vegetal, y manufacturas de madera. Millones de USD. Mensual. | Saldo comercial. Café, té, yerba mate y especias. Millones de USD. Mensual.",164.3_SABACO_DOS_0_0_38 | 164.3_SABON_AVAR_0_0_57 | 164.3_SACAO_PNES_0_0_22 | 164.3_SADERA_ERA_0_0_44 | 164.3_SAFE_TEIAS_0_0_30
"Saldo comercial según Nomenclador Común del Mercosur NCM, a 2 dígitos. Datros trimestrales",Millones de dólares,Sector Externo,T,98,"Saldo comercial. Tabaco y sucedáneos. Millones de USD. Trimestral. | Saldo comercial. Jabón, preparaciones para lavar, productos de limpieza. Millones de USD. Trimestral. | Saldo comercial. Cacao y sus preparaciones. Millones de USD. Trimestral. | Saldo comercial. Madera, carbón vegetal, y manufacturas de madera. Millones de USD. Trimestral. | Saldo comercial. Café, té, yerba mate y especias. Millones de USD. Trimestral.",164.2_SABACO_DOS_0_0_38 | 164.2_SABON_AVAR_0_0_57 | 164.2_SACAO_PNES_0_0_22 | 164.2_SADERA_ERA_0_0_44 | 164.2_SAFE_TEIAS_0_0_30
"Índice de Precios al Consumidor, por capítulos. Base diciembre 2016. Valores trimestrales",Índice,Precios,T,97,IPC. Alimentos y bebidas no alcohólicas. Región pampeana. Base dic 2016. Trimestral. | IPC. Alimentos y bebidas no alcohólicas. GBA. Base dic 2016. Trimestral. | IPC. Alimentos y bebidas no alcohólicas. Nacional. Base dic 2016. Trimestral. | IPC. Alimentos y bebidas no alcohólicas. Región noreste. Base dic 2016. Trimestral. | IPC. Alimentos y bebidas no alcohólicas. Patagonia. Base dic 2016. Trimestral.,146.1_IPC_ALIMENANA_DICI_T_45 | 146.1_IPC_ALIMENGBA_DICI_T_40 | 146.1_IPC_ALIMENNAL_DICI_T_45 | 146.1_IPC_ALIMENNEA_DICI_T_40 | 146.1_IPC_ALIMENNIA_DICI_T_46
Estado Resumido de Activos y Pasivos del BCRA. Valores mensuales en miles de pesos,Miles de pesos,Dinero y Bancos,M,90,Apertura activo. Adelantos transitorios al Gobierno Nacional. | Apertura activo. Apertura de adelantos transitorios al Gobierno Nacional. Otras Aplicaciones | Apertura activo. Apertura de adelantos transitorios al Gobierno Nacional. Pago Obligaciones con Organismos Internacionales. | Apertura activo. Aportes a organismos internacionales | Apertura activo. Contrapartida del uso del tramo de reservas fondos transferidos al Gobierno Nacional por colocaciones al FMI,300.1_AP_ACT_ADENAC_0_M_37 | 300.1_AP_ACT_ADENES_0_M_56 | 300.1_AP_ACT_ADETER_0_M_58 | 300.1_AP_ACT_APOTER_0_M_31 | 300.1_AP_ACT_CONFMI_0_M_60
Posición de inversión nacional. Base 1991. Valores anuales.,Millones de dólares,Sector Externo,A,87,Atrasos (excluido atrasos de títulos) de gob locales y otros entes pub | Atrasos (excluido atrasos de títulos) | Activos externos del BCRA | Activos externos de gob locales y otros entes publicos locales | Activos externos de otras entidades financieras,86.1_AEATEPL_1991_A_55 | 86.1_AEAT_1991_A_32 | 86.1_AEB_1991_A_21 | 86.1_AEEPL_1991_A_39 | 86.1_AEO_1991_A_20
Sector Público Nacional. Valores anuales 1993-2006,Millones de pesos,Finanzas Públicas,A,85,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,379.1_AP_FIN_AMO006_II_0_A_55_34 | 379.1_AP_FIN_AMO006_I_0_A_57_80 | 379.1_AP_FIN_AMO006__55_8 | 379.1_AP_FIN_AMO006__57_36 | 379.1_AP_FIN_CAM006__58_32
Precios al consumidor de un conjunto de elementos de la canasta del IPC según regiones.,Índice,Precios,M,84,Precios del consumidor cuyo aceite de girasol 1 litro medio | Precios del consumidor cuyo arroz blanco simple kg | Precios del consumidor cuyo azucar kg | Precios del consumidor cuyo carne picada comun kg | Precios del consumidor cuyo detergente liquido 750 cc,348.1_CUYO_ACEITDIO__36 | 348.1_CUYO_ARROZ_KG__27 | 348.1_CUYO_AZUCA_KG__14 | 348.1_CUYO_CARNE_KG__26 | 348.1_CUYO_DETER_CC__30
Índice de Precios al Consumidor GBA - Base 1974,Índice base 100,Precios,M,84,"Azúcar, dulce, golosinas, cacao y derivados | Aparatos y accesorios terapéuticos | Atención medica y gastos para la salud | Art. textiles para el hogar | art. y servicios p/cuidado personal",177.1_AAR_DULDOS_1974_0_38 | 177.1_AATOS_ACOS_1974_0_32 | 177.1_ACION_MLUD_1974_0_33 | 177.1_ACULOS_GAR_1974_0_29 | 177.1_ACULOS_NAL_1974_0_36
"Índice de Precios al Consumidor, por capítulos. Base diciembre 2016. Valores mensuales",Índice,Precios,M,84,IPC. Alimentos y bebidas no alcohólicas. Región pampeana. Base dic 2016. Mensual. | IPC. Alimentos y bebidas no alcohólicas. GBA. Base dic 2016. Mensual. | IPC. Alimentos y bebidas no alcohólicas. Nacional. Base dic 2016. Mensual. | IPC. Alimentos y bebidas no alcohólicas. Región noreste. Base dic 2016. Mensual. | IPC. Alimentos y bebidas no alcohólicas. Patagonia. Base dic 2016. Mensual.,146.3_IALIMENANA_DICI_M_45 | 146.3_IALIMENGBA_DICI_M_40 | 146.3_IALIMENNAL_DICI_M_45 | 146.3_IALIMENNEA_DICI_M_40 | 146.3_IALIMENNIA_DICI_M_46
Índice de Producción Industrial Manufacturero (IPI). Divisiones y subclases,Índice 2004 = 100,Actividad,M,84,IPI Divisiones y Subclases Agroquímicos | IPI Divisiones y Subclases Alimentos y bebidas | IPI Divisiones y Subclases Aluminio y otros metales no ferrosos | IPI Divisiones y Subclases Aparatos de uso doméstico | IPI Divisiones y Subclases Artículos de cemento y de yeso,453.2_AGROQUIMICCOS_0_0_12_6 | 453.2_ALIMENTOS_DAS_0_0_17_18 | 453.2_ALUMINIO_OSOS_0_0_34_69 | 453.2_APARATOS_UICO_0_0_22_48 | 453.2_ARTICULOS_ESO_0_0_22_22
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Sector Público Argentino (1990-1992),Variación Porcentual,Finanzas Públicas,A,82,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones de capital . Inversión financiera | Erogaciones de capital . Inversión bienes preexistentes | Erogaciones de capital . Inversión real . Construcciones,439.3_AHORRORRO_DEVE_0_6_47 | 439.3_AUM_PAS_FITOS_DEVE_0_17_48 | 439.3_EROG_CAP_IANC_DEVE_0_19_28 | 439.3_EROG_CAP_IIST_DEVE_0_23_22 | 439.3_EROG_CAP_ISTR_DEVE_0_24_8
Sector Público Nacional. Valores mensuales 1993-2006,Millones de pesos,Finanzas Públicas,M,80,Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,379.7_AP_FIN_AMO006_1_0_M_57_16 | 379.7_AP_FIN_AMO006_2_0_M_55_75 | 379.7_AP_FIN_AMO006__55_19 | 379.7_AP_FIN_AMO006__57_62 | 379.7_AP_FIN_CAM006__58_29
Estado Resumido de Activos y Pasivos del BCRA. Valores anuales en miles de pesos,Miles de pesos,Dinero y Bancos,A,79,Apertura activo. Adelantos transitorios al Gobierno Nacional. | Apertura activo. Apertura de adelantos transitorios al Gobierno Nacional. Otras Aplicaciones | Apertura activo. Apertura de adelantos transitorios al Gobierno Nacional. Pago Obligaciones con Organismos Internacionales. | Apertura activo. Aportes a organismos internacionales | Apertura activo. Contrapartida del uso del tramo de reservas fondos transferidos al Gobierno Nacional por colocaciones al FMI,300.2_AP_ACT_ADENAC_0_A_37 | 300.2_AP_ACT_ADENES_0_A_56 | 300.2_AP_ACT_ADETER_0_A_58 | 300.2_AP_ACT_APOTER_0_A_31 | 300.2_AP_ACT_CONFMI_0_A_60
Administración Pública Nacional. Valores trimestrales 1993-2006,Millones de pesos,Finanzas Públicas,T,76,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos. Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa. Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local. Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera. Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna. Metodología 1993 - 2006,372.4_AP_FIN_AMO006_0_T_55_25 | 372.4_AP_FIN_AMO006_0_T_57_76 | 372.4_AP_FIN_AMO006__55_12 | 372.4_AP_FIN_AMO006__57_57 | 372.4_AP_FIN_CAM006__58_60
Sector Público Nacional. Valores trimestrales 1993-2006,Millones de pesos,Finanzas Públicas,T,75,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,379.4_AP_FIN_AMO006_II_0_T_55_57 | 379.4_AP_FIN_AMO006_I_0_T_57_86 | 379.4_AP_FIN_AMO006__55_86 | 379.4_AP_FIN_AMO006__57_31 | 379.4_AP_FIN_CAM006__58_23
